1: [365,221  365,222  366,221  366,222]
2: [367,201  367,210  371,201  371,210]
3: [362,195  362,197  363,195  363,197]
4: [297,187  297,190  301,187  301,190]
5: [396,182  396,184  398,182  398,184]
6: [371,168  371,190  394,168  394,190]
7: [382,166  382,169  387,166  387,169]
8: [211,160  211,189  238,160  238,189]
9: [377,148  377,163  403,148  403,163]
10: [308,148  308,217  353,148  353,217]
11: [315,193  315,216  348,193  348,216]
12: [277,148  277,188  311,148  311,188]
13: [241,147  241,190  274,147  274,190]
14: [179,132  179,189  235,132  235,189]
15: [355,129  355,192  372,129  372,192]
